birth_country,count
Argentina,4
Australia,10
Austria,16
Austria-Hungary (Austria),1
Austria-Hungary (Bosnia and Herzegovina),1
Austria-Hungary (Croatia),1
Austria-Hungary (Czech Republic),4
Austria-Hungary (Hungary),3
Austria-Hungary (Poland),1
Austria-Hungary (Slovenia),1
Austria-Hungary (Ukraine),1
Austrian Empire (Austria),2
Austrian Empire (Czech Republic),1
Austrian Empire (Italy),1
Bavaria (Germany),1
Belgian Congo (now Democratic Republic of the Congo),1
Belgium,9
Bosnia (Bosnia and Herzegovina),1
Brazil,1
British India (Bangladesh),1
British India (India),1
British Mandate of Palestine (Israel),5
British Protectorate of Palestine (Israel),1
British West Indies (Saint Lucia),1
Bulgaria,1
Burma (Myanmar),1
Canada,21
Chile,2
China,11
Colombia,2
Costa Rica,1
Crete (Greece),1
Cyprus,1
Czechoslovakia (Czech Republic),1
Denmark,12
East Friesland (Germany),1
East Timor,2
Egypt,6
Ethiopia,1
Faroe Islands (Denmark),1
Finland,2
France,58
Free City of Danzig (Poland),1
French Algeria (Algeria),2
French protectorate of Tunisia (now Tunisia),1
German-occupied Poland (Poland),1
Germany,67
Germany (France),3
Germany (Poland),8
Germany (Russia),2
Gold Coast (Ghana),1
Guadeloupe Island,1
Guatemala,2
Hesse-Kassel (Germany),1
Hungary,8
Hungary (Slovakia),1
Iceland,1
India,8
India (Pakistan),2
Iran,2
Iraq,1
Ireland,5
Italy,18
Japan,28
"Java, Dutch East Indies (Indonesia)",1
Kenya,1
Korea (South Korea),2
Lebanon,1
Liberia,2
Lithuania,1
Luxembourg,2
Madagascar,1
Mecklenburg (Germany),1
Mexico,3
Morocco,1
Netherlands,19
New Zealand,3
Nigeria,1
Northern Ireland,5
Norway,13
Ottoman Empire (Republic of Macedonia),1
Ottoman Empire (Turkey),1
Pakistan,1
Persia (Iran),1
Peru,1
Philippines,1
Poland,6
Poland (Belarus),1
Poland (Lithuania),1
Poland (Ukraine),1
Portugal,2
Prussia (Germany),7
Prussia (Poland),5
Prussia (Russia),1
Romania,4
Russia,18
Russian Empire (Azerbaijan),1
Russian Empire (Belarus),2
Russian Empire (Finland),3
Russian Empire (Latvia),1
Russian Empire (Lithuania),1
Russian Empire (Poland),5
Russian Empire (Russia),2
Russian Empire (Ukraine),2
Saint Lucia,1
Schleswig (Germany),2
Scotland,10
South Africa,9
Southern Rhodesia (Zimbabwe),1
Spain,7
Sweden,30
Switzerland,19
Taiwan,1
Tibet (People's Republic of China),1
Trinidad,1
Turkey,2
Tuscany (Italy),1
USA,1
USSR (now Russia),2
Ukraine,1
Union of Soviet Socialist Republics (Belarus),1
Union of Soviet Socialist Republics (Russia),4
United Kingdom,91
United States of America,291
Venezuela,1
Vietnam,1
W&uuml;rttemberg (Germany),1
West Germany (Germany),5
Yemen,1
