original_birth_country,mapped_country
Argentina,Argentina
Australia,Australia
Austria,Austria
Austria-Hungary (Austria),Austria
Austria-Hungary (Bosnia and Herzegovina),Bosnia
Austria-Hungary (Croatia),Croatia
Austria-Hungary (Czech Republic),Czechoslovakia
Austria-Hungary (Hungary),Hungary
Austria-Hungary (Poland),Poland
Austria-Hungary (Slovenia),Slovenia
Austria-Hungary (Ukraine),Ukraine
Austrian Empire (Austria),Austria
Austrian Empire (Czech Republic),Czechoslovakia
Austrian Empire (Italy),Italy
Bavaria (Germany),Germany
Belgian Congo (now Democratic Republic of the Congo),Democratic Republic of the Congo
Belgium,Belgium
Bosnia (Bosnia and Herzegovina),Bosnia
Brazil,Brazil
British India (Bangladesh),Bangladesh
British India (India),India
British Mandate of Palestine (Israel),Israel
British Protectorate of Palestine (Israel),Israel
British West Indies (Saint Lucia),Saint Lucia
Bulgaria,Bulgaria
Burma (Myanmar),Myanmar
Canada,Canada
Chile,Chile
China,China
Colombia,Colombia
Costa Rica,Costa Rica
Crete (Greece),Greece
Cyprus,Cyprus
Czechoslovakia (Czech Republic),Czechoslovakia
Denmark,Denmark
East Friesland (Germany),Germany
East Timor,East Timor
Egypt,Egypt
Ethiopia,Ethiopia
Faroe Islands (Denmark),Denmark
Finland,Finland
France,France
Free City of Danzig (Poland),Poland
French Algeria (Algeria),Algeria
French protectorate of Tunisia (now Tunisia),Tunisia
German-occupied Poland (Poland),Poland
Germany,Germany
Germany (France),France
Germany (Poland),Poland
Germany (Russia),Russia
Gold Coast (Ghana),Ghana
Guadeloupe Island,Guadeloupe Island
Guatemala,Guatemala
Hesse-Kassel (Germany),Germany
Hungary,Hungary
Hungary (Slovakia),Slovakia
Iceland,Iceland
India,India
India (Pakistan),Pakistan
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Italy,Italy
Japan,Japan
"Java, Dutch East Indies (Indonesia)",Indonesia
Kenya,Kenya
Korea (South Korea),South Korea
Lebanon,Lebanon
Liberia,Liberia
Lithuania,Lithuania
Luxembourg,Luxembourg
Madagascar,Madagascar
Mecklenburg (Germany),Germany
Mexico,Mexico
Morocco,Morocco
Netherlands,Netherlands
New Zealand,New Zealand
Nigeria,Nigeria
Northern Ireland,Northern Ireland
Norway,Norway
Ottoman Empire (Republic of Macedonia),Greece
Ottoman Empire (Turkey),Turkey
Pakistan,Pakistan
Persia (Iran),Iran
Peru,Peru
Philippines,Philippines
Poland,Poland
Poland (Belarus),Belarus
Poland (Lithuania),Lithuania
Poland (Ukraine),Ukraine
Portugal,Portugal
Prussia (Germany),Germany
Prussia (Poland),Poland
Prussia (Russia),Russia
Romania,Romania
Russia,Russia
Russian Empire (Azerbaijan),Azerbaijan
Russian Empire (Belarus),Belarus
Russian Empire (Finland),Finland
Russian Empire (Latvia),Latvia
Russian Empire (Lithuania),Lithuania
Russian Empire (Poland),Poland
Russian Empire (Russia),Russia
Russian Empire (Ukraine),Ukraine
Saint Lucia,Saint Lucia
Schleswig (Germany),Germany
Scotland,Scotland
South Africa,South Africa
Southern Rhodesia (Zimbabwe),Zimbabwe
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
Taiwan,Taiwan
Tibet (People's Republic of China),Tibet
Trinidad,Trinidad
Turkey,Turkey
Tuscany (Italy),Italy
USA,United States of America
USSR (now Russia),Russia
Ukraine,Ukraine
Union of Soviet Socialist Republics (Belarus),Belarus
Union of Soviet Socialist Republics (Russia),Russia
United Kingdom,United Kingdom
United States of America,United States of America
Venezuela,Venezuela
Vietnam,Vietnam
W&uuml;rttemberg (Germany),Germany
West Germany (Germany),Germany
Yemen,Yemen
